作品名,创作类型,题材,年份,别名,event_id,年谱原文片段(供查找用)
漓江揽胜亭图卷,作画,其他,1935,漓江揽胜亭图卷,evt_03140,此际，为林次瓞作《漓江揽胜亭图卷》。
九龙潭图,作画,其他,1935,九龙潭图,evt_03157,新秋，重游九龙潭，作《九龙潭图》。
云归图,作画,其他,1935,云归图,evt_03159,约此际，为孙仲英画《云归图》。
归云楼图,作画,其他,1935,归云楼图,,
北流萝村陈柱尊山屋图,作画,其他,1935,北流萝村陈柱尊山屋图,evt_03168,为陈柱作《北流萝村陈柱尊山屋图》。
四时花卉图,作画,花鸟,1935,四时花卉图,evt_03170,秋，为张善孖跋其所作《四时花卉图》卷。
秋山烟树图,作画,其他,1935,秋山烟树图,evt_03175,为马君武作《秋山烟树图》。
松鹰图,作画,其他,1935,松鹰图,evt_03177,9月11日，与夏敬观、谢公展、诸乐三等聚于刘海粟“海庐”寓所，扺掌论画，并合作《松鹰图》。
渐江大师事迹佚闻,作画,山水,1935,渐江大师事迹佚闻; 石淙秋泛图,evt_03183,《渐江大师事迹佚闻》：“丙戌（当为乙亥）秋，重游黄山，还至西干，曾偕若婴一跻披云峰顶，展渐师墓。时邑中许疑庵、江彤侯两君方事修葺，鬛封三尺，植寒梅数丛，工犹未竣。拾级而上，远眺黄山云门诸峰，若在天际，而乌聊、紫阳二山，近接几案，澄江如练，环绕林麓，有舟筏二三浮沉于空明者，碎月滩也。前二百年，新安之盛，渐师作《石淙秋泛图》，尝与吴不炎、程非二、许青岩、江允凝诸公觞咏其间，纵观古人法书名画之乐，殊堪悬想，今不可见矣。坐憩移时，遂与循途而返。俄而夕阳沉阁，已入暝色。迨蹋城𬮱，灯火万家，隔江峰峦，隐隐云表而已。”
画展,作画,山水,1935,画展,evt_03214,《画展》：“名艺术家兼考古学者、新安黄宾虹氏已于昨日抵京，书画家许士骐、杨缦华伉俪特往欢迎，即下榻许寓。所作山水，独步一时。历任国内各大学艺术教授，门弟子遍国内外。” （11月3日南京《新民报》）
现代中国画坛的状况,题跋,其他,1935,现代中国画坛的状况; 真美善; 从美展作品感觉到现代国画画派; 美展; 教育部全国美展参观记,,
黄宾虹十事考·故宫读画,题跋,人物,1935,黄宾虹十事考·故宫读画; 九十杂述; 潘兰史遗诗; 故宫盗宝案真相; 故宫博物院组织法,,
茹经纪念堂落成典礼,题跋,山水,1935,茹经纪念堂落成典礼; 茹经堂画; 学术世界,evt_03232,《茹经纪念堂落成典礼》：“锡山唐蔚芝先生，为吾国当今大儒，经师人师，早已驰声中外。今年为先生七十寿辰，于是其门弟子张其洤、胡端行、傅焕光等发起集资筑茹经堂于太湖之宝界山。自去年（1934）一月二日举行奠基礼后，鸠工建筑，将及一年，现工程完成，庄严华丽，湖山为之生色。考琴山东临蠡湖，西环震泽，南通雪浪、军将诸峰，北接惠麓、九龙等胜，烟水回环，峰峦群立。又考琴山其形似琴，故名琴山。是山也，背圆而不峰，身长而秀美，突兀湖中，有中流砥柱之势。且宋刺史钱绅仲（濬泉）结庐楼隐于此，明王仲山先生暨子吏部郎鉴（继山）偕隐读书，又于是山建湖山草堂，即归震川所记宝界山居是也。仲山先生叠石疏池，营成三十四景，作湖山
国专校闻·黄宾虹陈柱尊二先生莅校演讲,题跋,其他,1935,国专校闻·黄宾虹陈柱尊二先生莅校演讲,evt_03237,《国专校闻·黄宾虹陈柱尊二先生莅校演讲》：“我国名画家暨南大学教授黄宾虹先生，暨交通大学国学系主任陈柱尊先生，应本校校长、教务长之聘，于上月九日由沪约同来校作学术演讲。黄先生讲题为‘中国画之认识’，其意谓中画与西画，若造极诣，其理相同。中国画家与西洋画家至于互相非诋，盖皆未能达其最高峰。并推之世间之理，九流百家之道，纷纭错杂，然考核其真谛，莫不殊途同归。论綦透辟。又谓提倡绘事，可以救挽人心。如画中所表出之幽情逸致，更加淡墨画之不施丹青，咸足令人对之志趣淡泊、心理超洁矣。陈柱尊先生讲题为‘墨子的尚义教育’，阐发隐奥，解剖精翔，各同学无不记录，以备不忘云。”（《国专月刊》1936年第2卷第5期）
南社纪念会成立记,出版,其他,1935,南社纪念会成立记,,
节盫印泥,篆刻,篆刻,1935,节盫印泥; 集古印谱,evt_03242,《节盫印泥》：“印泥有三品：细润净洁，鲜红悦目，钤于纸上，毫发必显，久而弥光，是为上品；质料精纯，调制得法，不沉朱走油，细腻适用，是为中品；参用洋红，颜色暗紫，凝结不化，黏蔽刻画，毫无精采，是为下品。明顾氏《集古印谱》所钤玉印之印泥，细润清朗，莫与伦比，此上品也。有清以来，诸好事所用者，大都中品，未见有超绝之作。今市廛所制者，多参用洋红，故其色暗紫而不鲜明，为识者所不取。方君节盫为余友介堪之介弟，研究斯道，颇具苦心，调剂之法，深得古人之秘，近制尤为精纯，而无嫉红黝紫之弊，诚上品也。兹拟公诸同好，爰为订例如左。褚礼堂、于右任、王一亭、赵叔孺、王福盫、黄宾虹、张大千、马公愚同订。中华民国廿五年元旦
古籀蒙求,著述,其他,1935,古籀蒙求,evt_03244,本年，为朱大可、朱其石著《古籀蒙求》题耑。
吴市长昨宴请名收藏家  为博物馆征求陈列物品,书法,其他,1936,吴市长昨宴请名收藏家  为博物馆征求陈列物品,evt_03321,《吴市长昨宴请名收藏家  为博物馆征求陈列物品》：“市博物馆新舍于去冬落成后，即成立筹备处于中华学艺社内，数月以来，渐有头绪。前曾分向本外埠收藏家征求陈列物品，已收到金石、陶器、甲骨、拓本等古器万余件。因求内容充实起见，故于昨晚，由吴市长在海格路私邸招待著名收藏家及学术耆宿，远道如南京、苏州各地兼程赴沪，翩然莅止。如蔡孑民、丁福保、王一亭、阎甘园、李拔可、黄宾虹、张叔驯、张葱玉、张善子、文素松、周子静、卫聚贤、潘博山、叶誉虎、程演生、管复初诸氏等，济济一堂，由市长及第一科长李大超殷勤招待。席间由市长报告计划建筑博物馆情形，陈述感谢各界协助之意，并望国内各收藏家尽量捐赠或寄存陈列物品。继由李科长
